Entry,Exit,Ticker,Lev,PnL%,Reason
2000-07-17,2000-07-18,XLE,1.0,0.9,MOM_REV: -5.9%
2000-06-23,2000-07-19,NASDAQ,1.0,5.47,TRAIL
2000-06-27,2000-07-19,RUSSELL2000,1.0,3.89,TRAIL
2000-07-05,2000-07-19,XLK,1.0,4.14,PULLBACK: 4.2%
2000-07-18,2000-07-19,XLE,1.0,-0.26,MOM_REV: -5.4%
2000-07-19,2000-07-20,XLE,1.0,-1.0,MOM_REV: -5.8%
2000-07-18,2000-07-21,XLV,1.0,-0.32,MOM_REV: -2.2%
2000-07-19,2000-07-21,XLK,1.0,-0.11,MOM_REV: -3.2%
2000-07-20,2000-07-21,XLE,1.0,-1.91,MOM_REV: -9.2%
2000-06-23,2000-07-24,SP500,1.0,1.58,TRAIL
2000-07-19,2000-07-24,RUSSELL2000,1.0,-2.58,TRAIL
2000-07-19,2000-07-24,NASDAQ,1.0,-1.83,TRAIL
2000-07-21,2000-07-24,XLE,1.0,-1.03,MOM_REV: -7.7%
2000-07-21,2000-07-24,XLV,1.0,-0.95,MOM_REV: -2.9%
2000-07-21,2000-07-24,XLK,1.0,-2.45,MOM_REV: -2.6%
2000-07-24,2000-07-25,XLE,1.0,-0.93,MOM_REV: -9.7%
2000-06-30,2000-07-26,DXY,1.0,1.19,TRAIL
2000-07-05,2000-07-26,PLATINUM,1.0,3.51,TRAIL
2000-07-25,2000-07-26,XLE,1.0,0.83,MOM_REV: -8.2%
2000-07-13,2000-07-27,DAX,1.0,-0.17,TRAIL
2000-07-24,2000-07-27,NASDAQ,1.0,-3.5,PULLBACK: 4.6%
2000-07-24,2000-07-27,XLK,1.0,-2.57,PULLBACK: 4.2%
2000-07-26,2000-07-27,XLE,1.0,3.44,MOM_REV: -4.4%
2000-06-23,2000-07-28,HANGSENG,1.0,9.19,TRAIL
2000-07-19,2000-07-28,FTSE,1.0,-2.01,TRAIL
2000-07-24,2000-07-28,RUSSELL2000,1.0,-4.67,STOP: -4.7%
2000-07-24,2000-07-28,SP500,1.0,-3.03,TRAIL
2000-07-27,2000-07-28,XLE,1.0,-0.74,MOM_REV: -4.3%
2000-07-27,2000-07-28,NASDAQ,1.0,-4.66,STOP: -4.7%
2000-07-27,2000-07-28,XLK,1.0,-3.71,STOP: -3.7%
2000-07-28,2000-07-31,XLE,1.0,-0.64,MOM_REV: -5.1%
2000-07-28,2000-07-31,RUSSELL2000,1.0,2.13,MOM_REV: -2.3%
