date,asset,trailing_12m,price,fwd_21d,fwd_63d,fwd_126d,fwd_252d,below_50sma,rsi_below_50,rsi,pct_above_200sma,breakdown_signal
2022-08-29,XLE,0.7849198917304905,37.192378997802734,-0.12722601656102472,0.07413701200204037,0.03649649186200388,0.10011755162358371,False,False,81.00940544075804,0.1921456129662591,False
2022-08-30,XLE,0.744949561378321,35.931846618652344,-0.09660805591232824,0.12861769822401148,0.08228674305294725,0.13947994960993992,False,False,67.1272715355824,0.14966690232506652,False
2022-08-31,XLE,0.7408446159556394,35.60455703735352,-0.09558729229837293,0.14464327020853096,0.10707952550811162,0.17349154729495941,False,False,58.44083383302341,0.13719562107335537,False
2022-09-01,XLE,0.7233061878938398,34.72881317138672,-0.020382251659993744,0.16964526386898005,0.13551678117740096,0.2094468884385352,False,False,50.14786199411204,0.10747217505355566,False
2022-09-02,XLE,0.7114861570606086,35.36571502685547,0.0033173658249296967,0.1417536142622462,0.09565263819840797,0.1881871358906515,False,False,58.97743693139808,0.1258961344241929,False
2022-09-06,XLE,0.70541194906663,35.038414001464844,0.03361712597889399,0.11822046769173156,0.09454192709722586,0.1981033433459154,False,False,57.077089664673075,0.11360420214901379,False
2022-09-07,XLE,0.6957210815027113,34.63151168823242,0.06435288518086191,0.10153547254744022,0.09175020430265413,0.22388101131438498,False,False,52.548142432248966,0.09887336297963834,False
2022-09-08,XLE,0.7252163198664612,34.781890869140625,0.05152434824647534,0.0942021069847061,0.07313346634694273,0.2025709091515293,False,True,47.36174881150705,0.10165260707418144,False
2022-09-09,XLE,0.7645162989675676,35.64877700805664,0.00488276599758608,0.0628279187207259,0.025749715385999128,0.20096846340969865,False,False,53.191523268611256,0.12699445502398787,False
2022-09-12,XLE,0.7976687205333972,36.30336380004883,-0.021118434954772725,0.018292878346915842,0.01720878509577206,0.1704355991130968,False,False,57.21725983142154,0.14555636625175739,False
2022-09-13,XLE,0.7034989949828103,35.3878288269043,0.012292724131526489,0.07205498675338129,-0.012512198563563559,0.21476899076364053,False,True,44.13038587017662,0.11479873955097486,False
2022-09-14,XLE,0.77728497461072,36.38740539550781,0.024664997683132128,0.06238821898909075,-0.029210881101696895,0.16431562239876563,False,True,47.68442458353615,0.1440144572540203,False
2022-09-15,XLE,0.6691313742359715,35.44974899291992,0.012542533637636133,0.08380405811336966,-0.01920651798101758,0.2052396986572278,False,True,41.31564381718673,0.1125163121582724,False
2022-09-16,XLE,0.6522587702286302,34.69343185424805,0.04750340171583933,0.10072938285315303,0.022237738017026443,0.22001566850931997,False,True,39.93588554879993,0.0868460809612055,False
2022-09-19,XLE,0.6656409015518996,34.713993072509766,0.05602795144869854,0.08655366747380366,0.05700168075722534,0.20793521804514592,False,True,36.43640563308771,0.08551553414746271,False
2022-09-20,XLE,0.7061568370606848,34.472557067871094,0.09481204243903862,0.09403245007565753,0.041763354931748875,0.19971031697816066,False,True,41.010986717998804,0.07616527139715412,False
2022-09-21,XLE,0.6772455687618908,33.96731948852539,0.11214949492544579,0.12706167977396166,0.042611969975502983,0.21960318402431,True,True,40.13120317867635,0.058676863484312,True
2022-09-22,XLE,0.6212929274065797,33.84659576416016,0.1483487180088272,0.1525687497872681,0.05037631237093798,0.23930261447440548,True,True,44.14975265182143,0.05328719901825374,True
2022-10-04,XLE,0.5161073462871024,35.483036041259766,0.11743951217335824,0.07433411115106803,0.10998708295772874,0.11403947572826989,False,True,45.8711833589924,0.09275881388010898,False
2022-10-05,XLE,0.5384417315145777,36.216304779052734,0.11506161807065962,0.07179051109413881,0.07100337301255011,0.09801559677295502,False,False,53.56619451757134,0.11311933440125799,False
2022-10-06,XLE,0.5824675290644923,36.86014938354492,0.1089276904606149,0.07304484362340125,0.060716363298041864,0.11482678643484245,False,False,60.18667341961759,0.13049430093816428,False
2022-10-07,XLE,0.558166063102139,36.574005126953125,0.13679652252855123,0.07761125347008702,0.07912361478133967,0.12494409478187363,False,False,58.53166257106642,0.11949452130762439,False
2022-10-13,XLE,0.5467400842366126,37.2849006652832,0.11680054037169785,0.08977632831059257,0.055243122758277474,0.12203196373894731,False,False,77.52671244140511,0.13287697690525646,False
2022-10-19,XLE,0.5208649969831942,37.740970611572266,0.09418299907748162,0.08295085423672699,0.02773680559563485,0.109333143580441,False,False,73.51657316551487,0.13814346699743396,False
2022-10-20,XLE,0.510073732965544,37.776737213134766,0.08450688153877461,0.08336035391492125,0.042470800352824245,0.09035605064957974,False,False,75.33527520925665,0.13714245005373682,False
2022-10-21,XLE,0.5829111277100287,38.86769485473633,0.03980210685456487,0.04888441213618733,-0.00581395520021577,0.04483364450428717,False,False,73.58579040694306,0.16765806662624083,False
2022-10-24,XLE,0.5755567861374233,39.05101013183594,0.06732322046289418,0.044076245864506314,-0.023688413037115996,0.03802847087444072,False,False,69.8310469424301,0.17090768427721081,False
2022-10-25,XLE,0.5543816102679957,39.09125900268555,0.05467215104036205,0.07593471954583442,-0.02119074638310725,0.028890839059016793,False,False,67.31293170225649,0.16991925038284994,False
2022-10-26,XLE,0.5664797938046846,39.62331771850586,0.03667348126482928,0.040054433347790575,-0.019359074767871243,-0.009274753141301884,False,False,66.86684481668215,0.18351722948252824,False
