donchian_entry,donchian_exit,sma_filter,atr_multiplier,risk_per_trade,cagr,sharpe,sortino,max_dd,calmar,win_rate,final_equity
40,10,250,2.5,0.0075,0.1097116799909279,0.5240761793140233,0.5749279142480793,-0.1785622997329268,0.6144168178558529,0.75,1599511.0278505597
55,20,200,2.5,0.0075,0.1103692170646342,0.521553942690337,0.5573024160841488,-0.2506658896682642,0.4403040924742447,0.8,1639112.1905398858
40,30,200,2.0,0.0075,0.12516465871647076,0.521528229527456,0.5342818336948489,-0.285782658450842,0.4379714969234236,0.8,1744788.1948895508
55,20,150,2.5,0.01,0.12934052448511468,0.520276362965848,0.551970957128781,-0.31896373133562644,0.40550229314008557,0.8,1818046.456272341
80,20,150,3.0,0.01,0.116662728050283,0.5183973017526117,0.5258627397297738,-0.29208482209530606,0.3994138661960889,0.8,1719926.9360654291
55,30,200,2.0,0.0075,0.12310051545256773,0.5145995590984817,0.5268784290562004,-0.285782658450842,0.4307487239424028,0.8,1729731.4353936128
80,20,200,2.5,0.01,0.1246713368055945,0.5143888559300035,0.48380639201334735,-0.3333298977386299,0.37401786533817494,0.6,1741180.333077519
80,30,200,2.0,0.0075,0.12154629419001095,0.5142928515814972,0.4918040678766434,-0.29302410682035684,0.41479964057881036,0.6,1718462.0037963754
40,20,150,2.5,0.0075,0.11006030065231487,0.5083534096491469,0.5634122841135484,-0.2455872032334726,0.4481516105205357,0.8,1670525.4686411957
40,20,200,2.5,0.0075,0.10814751237317921,0.5076285307462844,0.5375559103846752,-0.2506658896682642,0.4314408813911761,0.8,1623689.5669464918
40,20,200,2.0,0.005,0.09968197016850988,0.5069677683271655,0.5564134040811001,-0.1968327134615642,0.506429893768522,0.8,1565968.398081104
40,20,150,2.0,0.005,0.09981912422983408,0.5035228200132676,0.5780226583511229,-0.19258801349861462,0.5183039298058502,0.8,1596139.9858878914
80,20,200,2.0,0.005,0.09743208945545723,0.5005278884794183,0.5150825272165269,-0.20182154867203447,0.4827635606631234,0.6,1550903.380840225
80,30,150,2.5,0.0075,0.10873790706249453,0.5000651806815782,0.5552044752355629,-0.23199662957682235,0.46870468446390745,0.8,1660768.186024984
80,10,250,3.0,0.0075,0.09408067674585441,0.4997963265107198,0.5347382799490348,-0.1566701747165296,0.6005015116379285,0.75,1500340.3930568064
55,30,200,2.5,0.01,0.12159488331061596,0.4997037539170676,0.49451853029217524,-0.32564943275695674,0.3733919702582942,0.8,1718813.4378175293
40,30,150,2.5,0.01,0.12454086455427338,0.49812202785010057,0.5294171137724573,-0.3011080154539517,0.41360859944732803,0.6,1780388.8990099702
55,20,200,2.0,0.005,0.09737941417955742,0.49490982855892135,0.5412625107605162,-0.1968327134615642,0.4947318586784246,0.8,1550552.0452303784
55,30,250,3.0,0.005,0.07739400461495682,0.4921028798274366,0.5706318143657403,-0.09643459289801347,0.8025543769008966,0.75,1399823.5021979336
55,30,150,2.0,0.0075,0.11974583088380242,0.49209735791475445,0.5330037850933617,-0.26258889150986753,0.45602016976145626,0.6,1743390.6655766098
55,20,150,2.0,0.005,0.09712718286325694,0.48893449086940177,0.5579285804266713,-0.19258801349861504,0.5043262096057469,0.8,1577032.2602504198
80,10,150,2.0,0.01,0.12897739163697652,0.48862817967935873,0.4388095163558615,-0.37041466626103015,0.34819731340250587,0.8,1815175.3682199938
80,30,150,3.0,0.01,0.11200015578032674,0.48776636297158843,0.5232625456952714,-0.2707494288355655,0.4136671913289534,0.8,1684921.2568392807
55,20,150,2.5,0.0075,0.10539553800730794,0.48614561011875024,0.5340895711434548,-0.2455872032334725,0.42915728759332594,0.8,1636308.758779168
40,30,200,2.5,0.01,0.11864833770391181,0.48546150514489717,0.4749855075024837,-0.32564943275695674,0.36434375671848046,0.8,1697603.9283467312
55,10,250,3.0,0.01,0.10829864355459118,0.48513643464662964,0.5105308034663473,-0.19948717685358697,0.5428852383533236,0.75,1590341.9363305834
80,20,150,3.0,0.0075,0.09510026668667693,0.48278647411365244,0.5068721290499459,-0.2238894879342044,0.4247643226314607,0.8,1562765.5702178914
80,20,200,2.5,0.0075,0.10198922039625158,0.48149592026767546,0.4723478541851105,-0.2565772739663455,0.3974990412035838,0.8,1581537.0994822946
40,20,150,3.0,0.01,0.1100056982993789,0.47921938866859903,0.5061142084181577,-0.2855465932560374,0.3852460540502457,0.8,1670121.6835260848
40,10,250,3.0,0.01,0.10717433103999019,0.47840954001519576,0.5015420882321666,-0.20630601503681495,0.5194920323620478,0.75,1583075.623859879
