date,asset,action,price,signals,bubble_score,pnl_pct,reason
2003-07-24,NATGAS,PARTIAL_COVER,4.730999946594238,,,20.407131026176227,
2003-08-29,SUGAR,COVER,6.289999961853027,,,25.47393039600876,time_stop (126 days)
2003-09-09,CRUDE,COVER,29.18000030517578,,,20.533770873831596,time_stop (126 days)
2003-09-09,NATGAS,COVER,4.730000019073486,,,20.423953495218914,time_stop (126 days)
2003-09-29,COTTON,COVER,66.69999694824219,,,-17.07915660707963,stop_loss (-17.1%)
2003-09-30,NASDAQ,SHORT,1786.93994140625,"['lower_high', 'momentum_flip']",3.0,,
2003-11-11,COTTON,SHORT,75.94999694824219,"['rsi_breakdown', 'lower_high']",3.0,,
2003-12-30,NATGAS,SHORT,6.599999904632568,"['rsi_breakdown', 'lower_high']",3.0,,
2004-01-06,NASDAQ,COVER,2057.3701171875,,,-15.133702566882706,stop_loss (-15.1%)
2004-02-11,NATGAS,PARTIAL_COVER,5.260000228881836,,,20.30302568353343,
2004-03-08,COPPER,SHORT,1.2920000553131104,"['rsi_breakdown', 'lower_high']",4.0,,
2004-04-12,COTTON,PARTIAL_COVER,58.7599983215332,,,22.633310490352606,
2004-04-13,SILVER,SHORT,7.445000171661377,"['rsi_breakdown', 'lower_high']",4.0,,
2004-04-19,CORN,SHORT,311.25,"['lower_high', 'momentum_flip']",3.0,,
2004-04-28,SILVER,PARTIAL_COVER,5.867000102996826,,,21.19543361021058,
2004-05-18,COTTON,COVER,62.93999862670898,,,17.129689064239415,time_stop (126 days)
2004-06-16,SOYBEANS,SHORT,869.5,"['rsi_breakdown', 'lower_high']",3.0,,
2004-07-02,NATGAS,COVER,6.1479997634887695,,,6.848487085985229,time_stop (126 days)
2004-07-08,CORN,PARTIAL_COVER,244.5,,,21.44578313253012,
2004-07-21,COFFEE,SHORT,71.3499984741211,"['rsi_breakdown', 'lower_high']",3.0,,
2004-07-22,SOYBEANS,PARTIAL_COVER,657.5,,,24.381828637147787,
2004-09-07,COPPER,COVER,1.2730000019073486,,,1.470592305908001,time_stop (126 days)
2004-09-22,COFFEE,COVER,83.55000305175781,,,-17.098815470979588,stop_loss (-17.1%)
2004-10-12,SILVER,COVER,7.0329999923706055,,,5.533917660056041,time_stop (126 days)
2004-10-12,SOYBEANS,COVER,513.0,,,41.00057504312824,profit_target (41.0%)
2004-10-15,CORN,COVER,206.75,,,33.57429718875502,time_stop (126 days)
2004-11-01,SUGAR,SHORT,8.460000038146973,"['lower_high', 'momentum_flip']",3.0,,
2004-11-02,CRUDE,SHORT,49.619998931884766,"['lower_high', 'momentum_flip']",3.0,,
2004-11-09,NATGAS,SHORT,7.47100019454956,"['rsi_breakdown', 'lower_high']",3.0,,
2005-01-03,NATGAS,PARTIAL_COVER,5.789999961853027,,,22.500337155966076,
2005-01-06,COFFEE,SHORT,96.8000030517578,"['rsi_breakdown', 'lower_high']",3.0,,
2005-02-07,COFFEE,COVER,112.75,,,-16.477269055161013,stop_loss (-16.5%)
2005-03-24,COFFEE,SHORT,120.9000015258789,"['rsi_breakdown', 'lower_high', 'momentum_flip']",3.0,,
2005-03-24,XLE,SHORT,11.616726875305176,"['lower_high', 'momentum_flip']",3.0,,
2005-04-01,CRUDE,COVER,57.27000045776367,,,-15.417173902765194,stop_loss (-15.4%)
2005-05-05,SUGAR,COVER,8.229999542236328,,,2.718681972500587,time_stop (126 days)
2005-05-13,NATGAS,COVER,6.535999774932861,,,12.515063515843893,time_stop (126 days)
2005-07-19,COFFEE,PARTIAL_COVER,94.1500015258789,,,22.125723459378207,
2005-08-02,XLE,COVER,13.557778358459473,,,-16.70910837441295,stop_loss (-16.7%)
2005-09-09,CRUDE,SHORT,64.08000183105469,"['rsi_breakdown', 'lower_high', 'momentum_flip']",3.0,,
2005-09-22,COFFEE,COVER,91.3000030517578,,,24.483042266782075,time_stop (126 days)
2005-10-05,XLE,SHORT,13.796724319458008,"['broke_50sma', 'lower_high', 'momentum_flip']",3.0,,
2005-10-18,NATGAS,SHORT,13.42099952697754,"['rsi_breakdown', 'lower_high']",6.0,,
2006-01-03,NATGAS,PARTIAL_COVER,10.62600040435791,,,20.825566061614154,
2006-01-09,COPPER,SHORT,2.1670000553131104,"['rsi_breakdown', 'lower_high']",3.0,,
2006-01-23,XLE,COVER,15.898564338684082,,,-15.234340924401707,stop_loss (-15.2%)
2006-02-06,NATGAS,COVER,7.994999885559082,,,40.429176906769584,profit_target (40.4%)
2006-02-13,SUGAR,SHORT,17.75,"['rsi_breakdown', 'lower_high']",5.0,,
2006-03-14,CRUDE,COVER,63.09999847412109,,,1.529343522051318,time_stop (126 days)
2006-03-28,COPPER,COVER,2.49399995803833,,,-15.089981281886558,stop_loss (-15.1%)
2006-05-17,SILVER,SHORT,13.156999588012695,"['lower_high', 'momentum_flip']",4.0,,
2006-05-19,GOLD,SHORT,656.7000122070312,"['rsi_breakdown', 'lower_high']",3.0,,
2006-05-31,COPPER,SHORT,3.7165000438690186,"['rsi_breakdown', 'lower_high']",6.0,,
2006-06-08,PLATINUM,SHORT,1190.0999755859375,"['lower_high', 'momentum_flip']",3.0,,
2006-06-13,SILVER,PARTIAL_COVER,9.595000267028809,,,27.073036653654793,
