date,year,ticker,category,pattern,stock_return_3m,put_return,pnl,cumulative,peak,drawdown,short_return,short_pnl
2006-06-13,2006,VRTX,bubble,below_200sma,0.3814640174973933,-1.0,-1000.0,-3644.4072658904015,4668.88489650804,-8313.29216239844,-0.3814640174973933,-1907.3200874869665
2006-07-10,2006,NVAX,bubble,below_200sma,-0.1585903198447099,0.3215859987059158,321.5859987059158,-3322.821267184486,4668.88489650804,-7991.7061636925255,0.1585903198447099,792.9515992235495
2006-08-04,2006,VRTX,bubble,below_200sma,0.0254105882613007,-0.8,-800.0,-4122.821267184486,4668.88489650804,-8791.706163692525,-0.0254105882613007,-127.0529413065035
2008-09-04,2008,FSLR,bubble,deep_oversold,-0.542487261713741,3.5207271809478415,3520.7271809478416,-602.0940862366442,4668.88489650804,-5270.978982744684,0.542487261713741,2712.4363085687046
2008-09-10,2008,CLF,bubble,below_200sma,-0.8006305918995816,5.671921599163181,5671.921599163181,5069.827512926537,5069.827512926537,0.0,0.8006305918995816,4003.1529594979083
2009-11-20,2009,DHI,bubble,below_200sma,0.1778054764013839,-1.0,-1000.0,4069.8275129265367,5069.827512926537,-1000.0,-0.1778054764013839,-889.0273820069194
2009-11-20,2009,NVAX,bubble,down_50_from_high,-0.298780471494267,1.4898372624522251,1489.837262452225,5559.664775378762,5559.664775378762,0.0,0.298780471494267,1493.902357471335
2010-01-22,2010,GS,bubble,below_200sma,-0.0391900969939439,-0.6734158583838008,-673.4158583838008,4886.248916994961,5559.664775378762,-673.4158583838007,0.0391900969939439,195.9504849697195
2010-02-01,2010,DHI,bubble,death_cross,-0.0500060570228704,-0.5832828581427467,-583.2828581427467,4302.966058852215,5559.664775378762,-1256.6987165265473,0.0500060570228704,250.030285114352
2010-02-08,2010,BAC,bubble,below_200sma,-0.0381573930580617,-0.6820217245161524,-682.0217245161524,3620.944334336062,5559.664775378762,-1938.7204410426998,0.0381573930580617,190.7869652903085
2010-02-26,2010,NVAX,bubble,below_200sma,-0.0733944279869999,-0.38837976677500086,-388.37976677500086,3232.5645675610613,5559.664775378762,-2327.1002078177007,0.0733944279869999,366.97213993499946
2010-03-03,2010,AIG,bubble,death_cross,0.3637459570786221,-1.0,-1000.0,2232.5645675610613,5559.664775378762,-3327.1002078177007,-0.3637459570786221,-1818.7297853931107
2010-04-14,2010,NVAX,bubble,below_200sma,-0.131782934847778,0.09819112373148342,98.19112373148342,2330.7556912925447,5559.664775378762,-3228.9090840862173,0.131782934847778,658.91467423889
2010-06-16,2010,LEN,bubble,below_200sma,0.1152300237174031,-0.95,-950.0,1380.7556912925447,5559.664775378762,-4178.909084086217,-0.1152300237174031,-576.1501185870155
2010-06-23,2010,RCL,volatile,below_200sma,0.7086843069441804,-1.0,-1000.0,380.7556912925447,5559.664775378762,-5178.909084086217,-0.7086843069441804,-3543.421534720902
2010-06-29,2010,AMD,bubble,below_200sma,0.0815508197806076,-0.95,-950.0,-569.2443087074553,5559.664775378762,-6128.909084086217,-0.0815508197806076,-407.754098903038
2010-07-06,2010,AIG,bubble,deep_oversold,0.7220411181671327,-1.0,-1000.0,-1569.2443087074553,5559.664775378762,-7128.909084086217,-0.7220411181671327,-3610.2055908356633
