Entry,Exit,Ticker,Entry$,Exit$,Leverage,PnL$,PnL%,Days,Reason
2019-11-25,2020-01-21,SOYBEANS,892.5,916.0,2.5,2513.93,6.58,57,TRAILING STOP
2020-01-06,2020-01-21,COPPER,2.8,2.8,1.5,-42.38,-0.11,15,TRAILING STOP
2020-01-08,2020-01-21,COFFEE,119.15,111.05,1.0,-2683.3,-6.8,13,STOP LOSS: -6.8%
2019-12-03,2020-01-24,RUSSELL2000,1602.63,1662.23,2.5,4271.78,9.3,52,TRAILING STOP
2020-01-21,2020-01-24,COPPER,2.8,2.69,1.0,-1662.84,-4.04,3,TRAILING STOP
2019-12-03,2020-01-27,XLV,88.74,92.28,2.5,4815.04,9.96,55,TRAILING STOP
2019-12-03,2020-01-27,NASDAQ,8520.64,9139.31,2.5,7923.31,18.15,55,TRAILING STOP
2019-12-03,2020-01-27,SP500,3093.2,3243.63,2.5,5041.62,12.16,55,TRAILING STOP
2019-12-06,2020-01-27,XLF,27.0,26.75,1.5,-559.02,-1.42,52,TRAILING STOP
2020-01-21,2020-01-28,COFFEE,111.05,105.05,1.0,-2342.1,-5.4,7,TRAILING STOP
2019-10-09,2020-01-30,DAX,12094.26,13157.12,2.5,8788.68,21.97,113,TRAILING STOP
2019-12-30,2020-01-30,USDJPY,109.43,108.99,1.0,-159.52,-0.4,31,TRAILING STOP
2020-01-24,2020-01-31,DXY,97.85,97.39,1.0,-186.02,-0.47,7,TREND REVERSAL
2020-01-27,2020-01-31,XLV,92.28,89.97,1.0,-1176.41,-2.5,4,TRAILING STOP
2019-11-12,2020-02-10,WHEAT,517.0,552.0,1.5,3867.56,10.15,90,TRAILING STOP
2020-01-24,2020-02-21,GBPUSD,1.31,1.29,1.0,-751.27,-1.8,28,TRAILING STOP
2019-12-03,2020-02-24,XLK,40.77,45.27,1.0,4350.11,11.04,83,TRAILING STOP
2020-01-27,2020-02-24,RUSSELL2000,1644.14,1628.1,1.5,-654.69,-1.46,28,TRAILING STOP
2020-01-27,2020-02-24,NASDAQ,9139.31,9221.28,2.5,952.99,2.24,28,TRAILING STOP
2020-01-27,2020-02-24,SP500,3243.63,3225.89,1.5,-331.24,-0.82,28,TRAILING STOP
2020-01-30,2020-02-24,DOW,28859.44,27960.8,1.5,-1899.05,-4.67,25,TRAILING STOP
2020-01-31,2020-02-24,XLV,89.97,90.91,2.5,1114.02,2.6,24,TRAILING STOP
2020-01-28,2020-02-25,BTC,9358.59,9341.71,1.5,-109.36,-0.27,28,TRAILING STOP
2020-01-30,2020-02-25,NIKKEI,22977.75,22605.41,1.5,-1040.28,-2.43,26,TRAILING STOP
2020-01-31,2020-02-25,SILVER,17.97,18.18,1.5,717.57,1.76,25,TRAILING STOP
2020-02-24,2020-02-26,RUSSELL2000,1628.1,1552.76,1.0,-2262.9,-4.63,2,TRAILING STOP
2020-01-21,2020-02-27,SUGAR,14.55,14.39,1.0,-430.21,-1.1,37,TRAILING STOP
2020-02-10,2020-02-27,WHEAT,552.0,529.25,1.0,-1681.78,-4.12,17,TRAILING STOP
2020-02-24,2020-02-27,XLV,90.91,85.14,1.0,-3263.12,-6.34,3,STOP LOSS: -6.3%
2020-02-24,2020-02-27,NASDAQ,9221.28,8566.48,1.0,-3298.84,-7.1,3,STOP LOSS: -7.1%
2020-02-24,2020-02-27,SP500,3225.89,2978.76,1.0,-3380.98,-7.66,3,STOP LOSS: -7.7%
2019-11-27,2020-02-28,GOLD,1453.4,1564.1,2.5,7309.63,19.04,93,TRAILING STOP
2020-02-24,2020-02-28,DXY,99.29,98.13,1.0,-465.34,-1.17,4,TRAILING STOP
2020-02-25,2020-02-28,BTC,9341.71,8672.46,1.0,-3153.27,-7.16,3,STOP LOSS: -7.2%
2020-02-25,2020-02-28,NIKKEI,22605.41,21142.96,1.0,-2705.15,-6.47,3,STOP LOSS: -6.5%
2020-02-26,2020-02-28,XLF,25.52,23.77,1.0,-2750.8,-6.87,2,STOP LOSS: -6.9%
2020-02-27,2020-02-28,SILVER,17.66,16.39,1.0,-2996.94,-7.2,1,STOP LOSS: -7.2%
2020-02-27,2020-02-28,PLATINUM,903.6,862.8,1.0,-1785.99,-4.52,1,TRAILING STOP
2020-02-21,2020-03-02,USDJPY,111.95,107.7,1.0,-1551.82,-3.8,10,TRAILING STOP
2020-02-27,2020-03-04,SUGAR,14.39,13.47,1.0,-2802.05,-6.39,6,STOP LOSS: -6.4%
2020-02-24,2020-03-05,COFFEE,105.9,109.85,1.0,1563.84,3.73,10,TRAILING STOP
2020-02-28,2020-03-06,DXY,98.13,95.95,1.0,-1087.2,-2.22,7,TRAILING STOP
2020-02-25,2020-03-09,XLK,43.82,39.02,1.0,-4356.3,-10.97,13,STOP LOSS: -11.0%
2020-02-27,2020-03-09,NASDAQ,8566.48,7950.68,1.0,-3316.37,-7.19,11,STOP LOSS: -7.2%
2020-03-02,2020-03-09,SP500,3090.23,2746.56,1.0,-5119.33,-11.12,7,STOP LOSS: -11.1%
2020-03-04,2020-03-09,SUGAR,13.47,12.61,1.0,-2783.38,-6.38,5,STOP LOSS: -6.4%
2020-03-02,2020-03-12,XLV,87.98,76.94,1.0,-6082.49,-12.55,10,STOP LOSS: -12.6%
2020-03-03,2020-03-12,SILVER,17.13,15.96,1.0,-2981.93,-6.82,9,STOP LOSS: -6.8%
2020-03-10,2020-03-12,XLK,41.62,35.78,1.0,-6900.69,-14.02,2,STOP LOSS: -14.0%
2020-02-28,2020-03-13,GOLD,1564.1,1515.7,1.0,-1594.09,-3.09,14,TRAILING STOP
2020-02-27,2020-03-16,WHEAT,529.25,498.0,1.0,-2867.42,-5.9,18,TRAILING STOP
2020-03-05,2020-03-16,COFFEE,109.85,103.9,1.0,-2361.05,-5.42,11,TRAILING STOP
2019-12-18,2020-03-18,TBOND,156.84,169.28,1.0,3297.14,7.93,91,TRAILING STOP
2020-03-09,2020-03-18,EURUSD,1.14,1.1,1.0,-1685.52,-3.25,9,TREND REVERSAL
2020-03-13,2020-03-27,DXY,98.75,98.37,1.0,-202.95,-0.38,14,TRAILING STOP
2020-03-18,2020-03-27,COFFEE,108.05,115.85,1.0,4059.81,7.22,9,TRAILING STOP
2020-03-19,2020-04-15,WHEAT,535.0,540.25,1.5,786.42,1.47,27,TRAILING STOP
2020-04-14,2020-04-21,NASDAQ,8515.74,8263.23,1.0,-1362.1,-2.97,7,TREND REVERSAL
2020-03-27,2020-04-24,COFFEE,115.85,105.2,1.0,-5184.56,-9.19,28,STOP LOSS: -9.2%
2020-03-27,2020-04-30,DXY,98.37,99.02,1.5,531.03,0.99,34,TRAILING STOP
2020-03-13,2020-05-06,GOLD,1515.7,1684.2,2.0,12343.38,22.23,54,TRAILING STOP
2020-05-07,2020-05-10,BTC,9951.52,8756.43,1.0,-5692.48,-12.01,3,STOP LOSS: -12.0%
2020-04-15,2020-05-13,WHEAT,540.25,510.5,1.0,-2552.35,-5.51,28,TRAILING STOP
2020-05-05,2020-05-13,COFFEE,108.85,103.55,1.0,-2383.45,-4.87,8,TRAILING STOP
2020-04-30,2020-05-26,DXY,99.02,98.91,1.0,-57.24,-0.11,26,TRAILING STOP
2020-06-01,2020-06-02,PLATINUM,897.0,864.6,1.0,-1522.86,-3.61,1,TREND REVERSAL
2020-03-18,2020-06-03,TBOND,169.28,177.12,2.5,6857.53,11.58,77,TRAILING STOP
2020-05-26,2020-06-03,DXY,98.91,97.28,1.0,-810.37,-1.65,8,TRAILING STOP
2019-12-12,2020-06-04,TNOTE10,128.44,138.2,2.5,7506.92,19.01,175,TRAILING STOP
2020-05-06,2020-06-05,GOLD,1684.2,1676.2,1.5,-355.51,-0.71,30,TRAILING STOP
2020-05-28,2020-06-05,SILVER,17.9,17.44,1.0,-1120.96,-2.53,8,TRAILING STOP
2020-06-03,2020-06-10,USDJPY,108.81,107.8,1.0,-403.8,-0.93,7,TREND REVERSAL
2020-04-08,2020-06-11,XLV,86.0,88.43,2.5,3589.0,7.05,64,TRAILING STOP
2020-04-08,2020-06-11,XLK,40.66,46.85,2.5,18392.35,38.04,64,TRAILING STOP
2020-05-22,2020-06-11,NASDAQ,9324.59,9492.73,2.5,2211.32,4.51,20,TRAILING STOP
2020-05-28,2020-06-11,SP500,3029.73,3002.1,2.5,-1065.06,-2.28,14,TRAILING STOP
2020-06-02,2020-06-15,NIKKEI,22325.61,21530.95,1.0,-1497.96,-3.56,13,TRAILING STOP
2020-05-13,2020-06-19,ETH,199.19,227.14,1.5,10865.88,21.04,37,TRAILING STOP
2020-06-16,2020-06-24,DAX,12315.66,12093.94,1.0,-766.68,-1.8,8,TREND REVERSAL
2020-06-22,2020-06-24,COTTON,62.52,61.66,1.0,-569.52,-1.38,2,TREND REVERSAL
2020-06-12,2020-06-26,SP500,3041.31,3009.05,1.5,-716.8,-1.59,14,TREND REVERSAL
2020-06-19,2020-06-27,BTC,9288.02,9045.39,1.0,-1138.47,-2.61,8,TRAILING STOP
2020-07-01,2020-07-13,SOYBEANS,893.75,876.5,1.0,-791.06,-1.93,12,TREND REVERSAL
2020-07-07,2020-07-17,COTTON,63.24,62.01,1.0,-757.31,-1.94,10,TRAILING STOP
2020-07-15,2020-07-20,WHEAT,550.75,522.0,1.0,-2035.84,-5.22,5,TREND REVERSAL
2020-07-20,2020-07-23,COTTON,62.99,61.68,1.0,-810.13,-2.08,3,TREND REVERSAL
2020-07-24,2020-07-27,WHEAT,539.5,527.75,1.0,-807.22,-2.18,3,TREND REVERSAL
2020-06-16,2020-07-31,NIKKEI,22582.21,21710.0,1.0,-1731.41,-3.86,45,TRAILING STOP
2020-07-31,2020-08-03,WHEAT,531.25,521.0,1.0,-720.19,-1.93,3,TREND REVERSAL
2020-07-16,2020-08-04,SOYBEANS,893.5,883.75,1.0,-404.29,-1.09,19,TREND REVERSAL
2020-06-30,2020-08-07,COPPER,2.71,2.79,2.5,3060.65,7.09,38,TRAILING STOP
2020-08-04,2020-08-07,COTTON,63.93,61.88,1.0,-1194.74,-3.21,3,TREND REVERSAL
2020-06-03,2020-08-11,TBOND,177.12,179.12,1.5,774.05,1.69,69,TRAILING STOP
2020-06-04,2020-08-11,TNOTE10,138.2,139.25,1.0,330.23,0.76,68,TRAILING STOP
2020-06-05,2020-08-11,GOLD,1676.2,1932.6,2.5,17612.23,38.24,67,TRAILING STOP
2020-08-10,2020-08-12,COTTON,62.34,61.84,1.0,-301.04,-0.8,2,TREND REVERSAL
2020-06-27,2020-08-25,BTC,9045.39,11366.13,1.5,18397.41,38.48,59,TRAILING STOP
2020-08-03,2020-09-02,SUGAR,12.72,12.44,1.0,-820.87,-2.2,30,TRAILING STOP
2020-06-05,2020-09-03,SILVER,17.44,26.74,1.0,23307.39,53.27,90,TRAILING STOP
2020-06-11,2020-09-03,NASDAQ,9492.73,11458.1,2.5,25837.32,51.76,84,TRAILING STOP
2020-06-11,2020-09-03,XLK,46.85,57.34,2.5,26552.35,55.99,84,TRAILING STOP
2020-06-29,2020-09-03,SP500,3053.24,3455.06,2.5,14941.69,32.9,66,TRAILING STOP
2020-08-25,2020-09-03,BTC,11366.13,10245.3,1.0,-3983.52,-9.86,9,STOP LOSS: -9.9%
2020-06-11,2020-09-08,XLV,88.43,95.21,1.0,4026.3,7.66,89,TRAILING STOP
2020-07-22,2020-09-09,GBPUSD,1.27,1.3,2.0,1382.17,3.73,49,TRAILING STOP
2020-08-07,2020-09-11,NATGAS,2.24,2.27,1.0,547.27,1.39,35,TRAILING STOP
2020-07-27,2020-09-14,COFFEE,110.4,123.55,2.0,8819.83,23.82,49,TRAILING STOP
2020-09-14,2020-09-18,COFFEE,123.55,113.6,1.0,-3550.68,-8.05,4,STOP LOSS: -8.1%
2020-09-02,2020-09-22,GOLD,1934.4,1898.6,1.0,-743.98,-1.85,20,TRAILING STOP
2020-06-08,2020-09-23,EURUSD,1.13,1.17,2.5,3569.65,8.59,107,TRAILING STOP
2020-08-11,2020-09-23,TBOND,179.12,176.47,1.0,-610.84,-1.48,43,TRAILING STOP
2020-09-03,2020-09-23,RUSSELL2000,1544.68,1451.46,1.0,-3088.31,-6.03,20,STOP LOSS: -6.0%
2020-09-03,2020-09-23,NASDAQ,11458.1,10632.99,1.0,-3500.84,-7.2,20,STOP LOSS: -7.2%
2020-09-03,2020-09-23,SP500,3455.06,3236.92,1.0,-2915.93,-6.31,20,STOP LOSS: -6.3%
2020-09-03,2020-09-23,BTC,10245.3,10246.19,1.5,5.71,0.01,20,TRAILING STOP
2020-08-11,2020-10-01,COPPER,2.87,2.86,1.5,-173.72,-0.44,51,TRAILING STOP
2020-08-11,2020-10-05,TNOTE10,139.25,138.92,1.0,-102.17,-0.24,55,TRAILING STOP
2020-09-23,2020-10-05,TBOND,176.47,174.22,1.0,-698.8,-1.28,12,TRAILING STOP
2020-09-18,2020-10-19,COFFEE,113.6,106.05,1.0,-2918.41,-6.65,31,STOP LOSS: -6.6%
2020-10-05,2020-10-22,TNOTE10,138.92,138.33,1.0,-192.3,-0.43,17,TRAILING STOP
2020-09-23,2020-10-26,NASDAQ,10632.99,11358.94,2.0,7109.61,13.65,33,TRAILING STOP
2020-09-23,2020-10-26,SP500,3236.92,3400.97,2.5,6267.18,12.67,33,TRAILING STOP
2020-10-05,2020-10-26,COPPER,2.96,3.09,2.5,4450.94,10.41,21,TRAILING STOP
2020-09-08,2020-10-28,XLV,95.21,94.27,1.5,-656.57,-1.48,50,TRAILING STOP
2020-10-19,2020-10-28,RUSSELL2000,1613.63,1543.28,1.0,-1859.68,-4.36,9,TRAILING STOP
2020-09-22,2020-10-29,GOLD,1898.6,1865.6,1.0,-759.36,-1.74,37,TRAILING STOP
2020-09-09,2020-10-30,CORN,350.0,398.5,1.5,9188.14,20.79,51,TRAILING STOP
2020-09-11,2020-10-30,NIKKEI,23406.49,22977.13,1.0,-807.06,-1.83,49,TRAILING STOP
2020-09-23,2020-11-02,EURUSD,1.17,1.16,1.0,-252.58,-0.57,40,TRAILING STOP
2020-10-01,2020-11-05,NATGAS,2.53,2.94,1.0,6936.35,16.42,35,TRAILING STOP
2020-09-03,2020-11-09,WHEAT,543.25,597.5,1.5,8068.96,14.98,67,TRAILING STOP
2020-10-22,2020-11-09,TNOTE10,138.33,137.58,1.0,-231.86,-0.54,18,TRAILING STOP
2020-10-29,2020-11-09,GOLD,1865.6,1853.2,1.5,-435.42,-1.0,11,TRAILING STOP
2020-11-05,2020-11-16,NATGAS,2.94,2.7,1.5,-5531.13,-12.49,11,STOP LOSS: -8.3%
