Entry,Exit,Ticker,Lev,PnL%,Reason
2002-04-22,2002-04-25,COPPER,1.25,-2.27,TRAIL
2002-04-16,2002-04-26,DOW,1.0,-3.79,TRAIL
2002-04-22,2002-04-26,PLATINUM,1.25,-0.43,TRAIL
2002-03-26,2002-04-29,XLV,1.0,0.76,TRAIL
2002-04-22,2002-04-30,SILVER,1.0,-0.13,TRAIL
2002-04-26,2002-04-30,PLATINUM,1.25,-3.51,TRAIL
2002-04-30,2002-05-01,PLATINUM,1.25,-4.23,TRAIL
2002-04-29,2002-05-02,SOYBEANS,1.25,-0.68,TRAIL
2002-04-12,2002-05-06,CRUDE,1.0,11.22,PULLBACK
2002-04-22,2002-05-06,XLE,1.0,-3.97,TRAIL
2002-04-26,2002-05-06,COPPER,1.0,-3.4,TRAIL
2002-04-17,2002-05-07,NIKKEI,1.0,-1.97,TRAIL
2002-04-24,2002-05-07,RUSSELL2000,1.0,-1.64,TRAIL
2002-04-04,2002-05-08,GOLD,1.75,4.13,TRAIL
2002-05-06,2002-05-10,SOYBEANS,1.25,2.03,TRAIL
2002-05-08,2002-05-10,RUSSELL2000,1.25,-4.17,TRAIL
2002-05-08,2002-05-14,GOLD,2.0,-0.58,TRAIL
2002-04-24,2002-05-15,NATGAS,1.0,6.9,PULLBACK
2002-05-15,2002-05-20,NATGAS,1.0,-4.12,STOP
2002-05-06,2002-05-21,CRUDE,1.0,3.53,PULLBACK
2002-05-14,2002-05-21,DOW,1.25,-2.34,TRAIL
2002-05-14,2002-05-21,RUSSELL2000,1.0,-3.18,TRAIL
2002-05-20,2002-05-21,NATGAS,1.0,-2.72,MOM_REV
2002-05-21,2002-05-22,COFFEE,1.0,-3.8,MOM_REV
2002-05-06,2002-05-23,HANGSENG,1.25,-1.19,TRAIL
2002-05-21,2002-05-24,CRUDE,1.0,-4.15,STOP
2002-05-15,2002-05-27,FTSE,1.0,-2.34,TRAIL
2002-05-22,2002-05-28,NATGAS,1.0,-5.17,STOP
2002-05-23,2002-05-29,XLE,1.25,-3.49,TRAIL
2002-05-02,2002-05-30,XLF,1.0,-1.97,TRAIL
2002-05-23,2002-05-30,DOW,1.0,-2.98,TRAIL
2002-05-23,2002-05-30,HANGSENG,1.25,-2.63,TRAIL
2002-04-30,2002-06-03,XLV,1.0,-0.34,TRAIL
2002-04-30,2002-06-05,SILVER,1.0,8.85,TRAIL
2002-05-14,2002-06-05,GOLD,1.5,6.78,TRAIL
2002-05-07,2002-06-06,NIKKEI,1.0,2.29,TRAIL
2002-05-10,2002-06-07,SOYBEANS,1.75,14.67,TRAIL
2002-06-05,2002-06-10,GOLD,2.0,-1.56,TRAIL
2002-06-07,2002-06-10,SOYBEANS,2.0,-2.76,TRAIL
2002-06-05,2002-06-11,SILVER,1.5,-1.82,TRAIL
2002-06-10,2002-06-12,SOYBEANS,2.0,-2.9,TRAIL
2002-06-12,2002-06-14,SOYBEANS,2.0,1.52,TRAIL
2002-05-14,2002-06-17,COPPER,1.0,2.64,TRAIL
2002-06-14,2002-06-18,SOYBEANS,1.5,-1.21,TRAIL
2002-06-18,2002-06-20,SOYBEANS,1.75,-1.95,TRAIL
2002-06-17,2002-06-24,COPPER,1.0,-2.63,TRAIL
2002-06-11,2002-06-25,SILVER,2.0,-1.81,TRAIL
2002-05-01,2002-06-26,PLATINUM,1.0,6.22,TRAIL
2002-06-25,2002-06-26,NATGAS,1.0,-4.96,STOP
2002-06-10,2002-06-27,GOLD,2.0,0.31,TRAIL
2002-06-27,2002-06-28,GOLD,1.75,-3.13,TRAIL
2002-06-20,2002-07-02,SOYBEANS,1.25,14.55,TRAIL
2002-06-27,2002-07-02,CORN,1.5,1.16,TRAIL
2002-07-02,2002-07-03,CORN,2.0,-2.85,TRAIL
2002-06-26,2002-07-08,PLATINUM,1.0,-4.46,STOP
2002-07-03,2002-07-08,CORN,1.5,-0.84,TRAIL
2002-07-02,2002-07-11,SOYBEANS,2.0,11.85,TRAIL
2002-07-08,2002-07-11,CORN,1.5,-4.87,TRAIL
2002-05-21,2002-07-12,COTTON,1.0,22.74,PULLBACK
2002-06-25,2002-07-12,COPPER,1.0,-1.2,TRAIL
2002-07-08,2002-07-12,WHEAT,1.5,0.36,TRAIL
2002-07-11,2002-07-15,COFFEE,1.0,-5.59,STOP
2002-06-25,2002-07-17,SILVER,1.25,4.17,TRAIL
2002-06-24,2002-07-23,CRUDE,1.0,-0.6,PULLBACK
2002-07-11,2002-07-23,GOLD,1.25,-1.77,TRAIL
2002-07-12,2002-07-23,WHEAT,1.5,8.33,TRAIL
2002-07-17,2002-07-23,SILVER,1.5,-3.49,TRAIL
2002-07-11,2002-07-25,SOYBEANS,1.0,-1.52,TRAIL
2002-07-25,2002-07-26,SOYBEANS,1.5,-4.49,TRAIL
2002-07-11,2002-07-29,CORN,1.0,6.94,PULLBACK
2002-07-23,2002-07-29,WHEAT,1.5,-2.82,TRAIL
2002-07-26,2002-07-29,SOYBEANS,1.5,-4.36,TRAIL
2002-07-12,2002-08-05,COTTON,1.0,-1.16,PULLBACK
2002-07-29,2002-08-08,WHEAT,1.5,5.51,TRAIL
2002-07-29,2002-08-08,CORN,1.25,8.25,TRAIL
2002-08-05,2002-08-08,COTTON,1.25,1.07,MOM_REV
2002-08-08,2002-08-15,WHEAT,2.0,7.09,TRAIL
2002-08-12,2002-08-15,COFFEE,1.0,-4.02,STOP
2002-07-10,2002-08-16,TNOTE10,1.25,3.29,TRAIL
2002-07-29,2002-08-16,SOYBEANS,1.25,11.34,TRAIL
2002-08-08,2002-08-16,COTTON,1.0,-0.76,MOM_REV
2002-08-08,2002-08-19,CORN,1.5,12.03,TRAIL
2002-08-16,2002-08-19,SOYBEANS,1.25,-3.05,TRAIL
2002-08-09,2002-08-20,PLATINUM,1.25,0.27,TRAIL
2002-08-15,2002-08-20,WHEAT,1.5,-5.03,TRAIL
2002-08-16,2002-08-20,COTTON,1.0,-1.27,MOM_REV
2002-08-19,2002-08-20,SOYBEANS,1.25,-3.79,TRAIL
2002-08-19,2002-08-20,CORN,1.5,-3.67,TRAIL
2002-08-20,2002-08-22,SOYBEANS,1.25,-0.85,MOM_REV
2002-07-24,2002-08-28,CRUDE,1.0,5.47,PULLBACK
2002-08-15,2002-08-28,NATGAS,1.0,4.88,PULLBACK
2002-08-20,2002-08-28,CORN,2.0,0.0,TRAIL
2002-08-28,2002-08-30,COTTON,1.75,-2.21,MOM_REV
2002-08-20,2002-09-03,PLATINUM,1.0,-0.38,TRAIL
2002-08-28,2002-09-03,NATGAS,1.25,-5.93,STOP
2002-08-28,2002-09-10,CORN,2.0,12.14,TRAIL
2002-09-03,2002-09-11,GOLD,1.75,1.79,TRAIL
2002-08-27,2002-09-12,SOYBEANS,1.5,4.06,TRAIL
2002-09-10,2002-09-12,CORN,1.5,-0.54,TRAIL
2002-08-20,2002-09-13,WHEAT,1.25,20.76,PULLBACK
2002-09-12,2002-09-13,SOYBEANS,1.25,-3.14,TRAIL
2002-09-12,2002-09-13,CORN,1.5,-4.24,TRAIL
2002-09-13,2002-09-18,CORN,1.75,3.94,TRAIL
2002-09-13,2002-09-19,WHEAT,1.5,0.19,TRAIL
2002-09-16,2002-09-19,SOYBEANS,1.75,-2.6,TRAIL
2002-09-18,2002-09-19,CORN,1.5,-3.17,TRAIL
2002-09-06,2002-09-20,COFFEE,1.0,0.99,PULLBACK
2002-09-19,2002-09-20,CORN,1.5,-3.37,TRAIL
2002-09-19,2002-09-23,WHEAT,1.5,-2.28,TRAIL
2002-09-20,2002-09-23,CORN,1.25,-3.12,TRAIL
2002-09-03,2002-09-24,NATGAS,1.0,19.48,PULLBACK
2002-09-23,2002-09-25,WHEAT,1.5,0.58,TRAIL
2002-09-24,2002-09-25,NATGAS,1.5,-9.94,STOP
2002-09-11,2002-09-26,GOLD,1.0,1.17,TRAIL
2002-09-24,2002-09-30,CORN,1.25,-3.85,TRAIL
2002-09-27,2002-10-01,SUGAR,1.0,-8.85,STOP
2002-09-25,2002-10-02,WHEAT,1.5,-2.88,TRAIL
2002-09-25,2002-10-03,NATGAS,1.0,6.58,PULLBACK
2002-10-02,2002-10-03,WHEAT,1.5,-3.42,TRAIL
2002-10-02,2002-10-04,COTTON,1.0,-8.14,STOP
2002-10-03,2002-10-07,WHEAT,1.75,3.27,MOM_REV
2002-09-26,2002-10-08,GOLD,1.75,-1.15,TRAIL
2002-10-07,2002-10-08,WHEAT,1.75,0.0,MOM_REV
2002-10-08,2002-10-09,WHEAT,1.25,-3.11,TRAIL
2002-08-28,2002-10-10,CRUDE,1.0,2.22,PULLBACK
2002-08-16,2002-10-14,TNOTE10,1.75,5.17,TRAIL
2002-07-24,2002-10-15,TBOND,1.0,3.98,TRAIL
2002-10-08,2002-10-15,GOLD,1.0,-1.76,TRAIL
2002-10-14,2002-10-15,TNOTE10,1.25,-1.65,TRAIL
2002-09-20,2002-10-18,COFFEE,1.0,11.69,PULLBACK
2002-09-03,2002-10-21,PLATINUM,1.0,8.35,TRAIL
2002-10-11,2002-10-21,CRUDE,1.5,-5.06,PULLBACK
2002-10-15,2002-10-22,WHEAT,1.25,3.34,TRAIL
2002-10-22,2002-10-23,WHEAT,2.0,-3.59,TRAIL
2002-10-03,2002-10-25,NATGAS,1.0,8.16,PULLBACK
2002-10-18,2002-10-28,COFFEE,1.5,5.03,PULLBACK
2002-10-24,2002-10-28,SOYBEANS,1.0,-2.15,TRAIL
2002-10-21,2002-10-29,PLATINUM,1.5,-0.36,TRAIL
2002-10-23,2002-10-30,WHEAT,1.25,3.23,TRAIL
2002-10-25,2002-10-31,NATGAS,1.5,4.77,PULLBACK
2002-10-29,2002-10-31,PLATINUM,1.5,-4.31,TRAIL
2002-10-31,2002-11-04,NATGAS,1.0,-7.05,STOP
2002-10-30,2002-11-05,WHEAT,1.5,-2.21,TRAIL
2002-11-05,2002-11-06,WHEAT,2.0,-3.12,TRAIL
2002-10-29,2002-11-07,SOYBEANS,1.75,5.34,TRAIL
