Date,Action,Ticker,Price,Shares,Leverage,PnL%,Reason,Signals,Portfolio,Cash,NumPositions
2002-10-07,LEVERAGE_UP,NATGAS,3.74,3817.0109,2.0,7.04,Strength=4 (1.0x->2.0x),Mom12m=61.2% | Mom6m=16.8% | Mom3m=25.0% | Mom1m=14.5% | GoldenCross | AboveSMA50,266217.03,140597.39,9
2002-10-08,DELEVERAGE,TBOND,113.8438,120.8335,1.0,4.15,MomDecay=43.4%,Mom6m=13.7% | Mom3m=8.6% | Mom1m=1.8% | GoldenCross | AboveSMA50,268387.36,140597.39,9
2002-10-08,LEVERAGE_UP,TBOND,113.8438,120.8335,1.5,4.15,Strength=3 (1.0x->1.5x),Mom6m=13.7% | Mom3m=8.6% | Mom1m=1.8% | GoldenCross | AboveSMA50,268387.36,140597.39,9
2002-10-08,DELEVERAGE,CRUDE,29.48,460.4393,1.0,4.02,Pullback=4.4%,Mom12m=33.5% | Mom6m=14.3% | Mom3m=10.1% | GoldenCross | AboveSMA50,268387.36,140597.39,9
2002-10-08,LEVERAGE_UP,CRUDE,29.48,460.4393,1.5,4.02,Strength=3 (1.0x->1.5x),Mom12m=33.5% | Mom6m=14.3% | Mom3m=10.1% | GoldenCross | AboveSMA50,268387.36,140597.39,9
2002-10-08,DELEVERAGE,NATGAS,3.862,3817.0109,1.0,10.53,MomDecay=52.5%,Mom12m=60.0% | Mom6m=21.8% | Mom3m=34.8% | Mom1m=13.6% | GoldenCross | AboveSMA50,268387.36,140597.39,9
2002-10-08,LEVERAGE_UP,NATGAS,3.862,3817.0109,2.0,10.53,Strength=4 (1.0x->2.0x),Mom12m=60.0% | Mom6m=21.8% | Mom3m=34.8% | Mom1m=13.6% | GoldenCross | AboveSMA50,268387.36,140597.39,9
2002-10-08,SELL,GOLD,318.2,41.3924,1.5,-1.24,"TrailingStop (High=323.90, Stop=320.60)",Mom6m=6.5% | GoldenCross | AboveSMA50,268387.36,140597.39,9
2002-10-09,DELEVERAGE,CRUDE,29.35,460.4393,1.0,3.56,Pullback=4.8%,Mom12m=29.7% | Mom6m=12.4% | Mom3m=9.4% | GoldenCross | AboveSMA50,268721.68,153685.67,8
2002-10-09,SELL,CRUDE,29.35,460.4393,1.0,3.56,"TrailingStop (High=30.83, Stop=29.35)",Mom12m=29.7% | Mom6m=12.4% | Mom3m=9.4% | GoldenCross | AboveSMA50,268721.68,153685.67,8
