date,ticker,pattern,mom_12m,rsi,pct_from_high,fwd_6m,fwd_12m,year,put_return,quarter
2024-01-03 00:00:00-05:00,IONQ,below_200sma,2.4579710551556153,43.094840636375466,-0.3992950685531426,-0.3788768099027364,3.004191050778,2024,2.15730674918947,2024Q1
2025-02-27 00:00:00-05:00,IONQ,down_50_from_high,1.2161922023717304,9.222342025744453,-0.5122381046354959,0.7382577078401293,,2025,-1.0,2025Q1
2025-04-03 00:00:00-04:00,IONQ,down_50_from_high,1.4839744500859986,45.3728185771522,-0.5447425075595543,2.151827904485887,,2025,-1.0,2025Q2
2021-03-09 00:00:00-05:00,ESTC,below_200sma,1.048693182795975,25.93760038676757,-0.3318932399615488,0.4923103384827079,-0.3372072976583813,2021,-1.0,2021Q1
2021-04-01 00:00:00-04:00,ESTC,below_200sma,1.2157090698802522,47.425712705515615,-0.3313678366022277,0.30088192684147996,-0.2233476128847971,2021,-1.0,2021Q2
2020-08-06 00:00:00-04:00,MI,below_200sma,1.021276595744681,44.680850847968685,-0.483695652173913,2.4,5.631578947368421,2020,-1.0,2020Q3
2020-11-03 00:00:00-05:00,MI,below_200sma,1.0333987602608983,48.947367153009075,-0.4375,22.40096618357488,5.299516908212561,2020,-1.0,2020Q4
2021-04-12 00:00:00-04:00,MI,down_50_from_high,20.128,29.833958221746116,-0.5091078066914498,-0.7353275274517228,-0.8519500189322227,2021,5.1277293954310235,2021Q2
2021-07-01 00:00:00-04:00,MI,down_50_from_high,14.594059405940595,12.948517940717636,-0.7072490706319703,-0.7263492063492063,-0.8907936507936508,2021,5.052910052910053,2021Q3
2021-10-01 00:00:00-04:00,MI,down_50_from_high,6.450980392156863,34.65703971119133,-0.8587360594795539,-0.5210526315789474,-0.8819736882259971,2021,3.3421052631578956,2021Q4
2022-01-04 00:00:00-05:00,MI,down_50_from_high,1.7714285714285714,48.76543209876543,-0.9278810408921933,-0.5283505154639175,-0.845360824742268,2022,3.402920962199313,2022Q1
