Date,Asset_1,Asset_2,Equity,Score_1
2022-11-10,SHV,XLF,8.58798781588552,16.039971586185484
2022-11-11,SHV,XLF,8.58798781588552,14.557704774020154
2022-11-12,SHV,NVDA,8.579399828069633,14.557704774020154
2022-11-13,SHV,NVDA,8.57060060243878,14.557704774020154
2022-11-14,SHV,NVDA,8.66933545740454,13.770061722517879
2022-11-15,SHV,NVDA,8.473101792638516,15.156032433235222
2022-11-16,SHV,NVDA,8.41144484254186,16.60924635100856
2022-11-17,SHV,NVDA,8.339930122180883,16.139909118905354
2022-11-18,SHV,EFA,8.331590192058702,17.675594636017262
2022-11-19,SHV,XLF,8.323258601866643,16.51434869917342
2022-11-20,SHV,EFA,8.283666219622994,15.376580790615991
2022-11-21,SHV,XLF,8.318493771297264,15.376580790615991
2022-11-22,SHV,XLF,8.337413814377008,16.797865820345606
2022-11-23,SHV,TLT,8.32907640056263,18.318333954552923
2022-11-24,SHV,EFA,8.342466927082095,17.18780057358849
2022-11-25,SHV,EFA,8.342466927082095,17.18572212920416
2022-11-26,SHV,EFA,8.342466927082095,16.081466140949104
2022-11-27,SHV,EFA,8.288998818607858,16.893724953614864
2022-11-28,SHV,EEM,8.371032848017437,17.551668214676557
2022-11-29,SHV,EEM,8.492369709893454,18.988984243422443
2022-11-30,SHV,EEM,8.480721085699125,21.86810229566559
2022-12-01,SHV,GLD,8.457217189845405,21.284749807181523
2022-12-02,SHV,EFA,8.44875997265556,20.396553005016905
2022-12-03,SHV,EFA,8.44875997265556,18.959342334606262
2022-12-04,SHV,TLT,8.38158229787536,18.28021017842313
2022-12-05,SHV,TLT,8.436324151034263,18.957532202425234
2022-12-06,SHV,TLT,8.53724953622825,20.147796036456175
2022-12-07,SHV,TLT,8.527104527962143,20.996081680952223
2022-12-08,SHV,TLT,8.416191133409924,21.876055065739628
2022-12-09,SHV,TLT,8.416191133409924,20.30018399458945
2022-12-10,SHV,TLT,8.416191133409924,18.887876362940766
2022-12-11,SHV,TLT,8.429646730825834,19.826592447659912
2022-12-12,SHV,TLT,8.471876478164695,19.826592447659912
2022-12-13,SHV,TLT,8.489584579824163,21.37781840862032
2022-12-14,SHV,TLT,8.508197568775577,21.381593127777457
2022-12-15,SHV,TLT,8.46145244287112,21.21387352630666
2022-12-16,SHV,TLT,8.46145244287112,21.71492891312984
