date,ticker,old_lev,new_lev,reason
2005-02-17,DOW,1.0,1.0,DELEVERAGE: Mom decay 0.8% vs peak 2.1%
2005-02-17,NATGAS,1.0,1.0,DELEVERAGE: Pullback 4.1%
2005-02-18,HANGSENG,3.0,3.0,LEVERAGE UP to 3.0x: 12m=2.5% | 1m=3.4% | >5%>SMA200 | GoldenX
2005-02-18,COPPER,3.0,3.0,LEVERAGE UP to 3.0x: 12m=15.0% | 3m=5.3% | 1m=2.5% | >5%>SMA200 | GoldenX
2005-02-18,DOW,2.5,2.5,LEVERAGE UP to 2.5x: 12m=1.6% | 1m=3.0% | GoldenX
2005-02-18,TBOND,1.0,1.0,DELEVERAGE: Mom decay 1.0% vs peak 2.3%
2005-02-21,HANGSENG,1.0,1.0,DELEVERAGE: Mom decay 2.0% vs peak 5.9%
2005-02-22,HANGSENG,3.0,3.0,LEVERAGE UP to 3.0x: 12m=2.0% | 1m=3.0% | >5%>SMA200 | GoldenX
2005-02-22,COPPER,1.0,1.0,DELEVERAGE: Mom decay 12.3% vs peak 29.5%
2005-02-22,GOLD,2.5,2.5,LEVERAGE UP to 2.5x: 12m=6.0% | >5%>SMA200 | GoldenX
2005-02-22,EURUSD,2.5,2.5,LEVERAGE UP to 2.5x: 12m=8.6% | >5%>SMA200 | GoldenX
2005-02-22,NATGAS,1.5,1.5,LEVERAGE UP to 1.5x: 12m=16.6% | Strong12m
2005-02-23,HANGSENG,1.0,1.0,DELEVERAGE: Mom decay 0.2% vs peak 5.9%
2005-02-23,COPPER,2.5,2.5,LEVERAGE UP to 2.5x: 12m=14.7% | >5%>SMA200 | GoldenX
2005-02-23,NATGAS,1.0,1.0,DELEVERAGE: Short-term reversal -2.5%
2005-02-24,XLE,1.0,1.0,DELEVERAGE: Vol spike ATR 0.21 vs entry 0.14
2005-02-24,HANGSENG,3.0,3.0,LEVERAGE UP to 3.0x: 12m=1.4% | 1m=4.3% | >5%>SMA200 | GoldenX
2005-02-24,COPPER,1.0,1.0,DELEVERAGE: Mom decay 13.0% vs peak 29.5%
2005-02-24,GOLD,3.0,3.0,LEVERAGE UP to 3.0x: 12m=8.9% | 1m=3.0% | >5%>SMA200 | GoldenX
2005-02-24,NATGAS,1.5,1.5,LEVERAGE UP to 1.5x: 12m=23.0% | Strong12m
2005-02-25,XLE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=52.1% | Strong12m | 3m=18.2% | 1m=18.6% | >5%>SMA200 | GoldenX
2005-02-25,HANGSENG,1.0,1.0,DELEVERAGE: Mom decay 2.1% vs peak 5.9%
2005-02-25,COPPER,2.5,2.5,LEVERAGE UP to 2.5x: 12m=12.3% | >5%>SMA200 | GoldenX
2005-02-25,NATGAS,3.0,3.0,LEVERAGE UP to 3.0x: 12m=32.3% | Strong12m | 1m=5.1% | >5%>SMA200
2005-02-25,DOW,3.0,3.0,LEVERAGE UP to 3.0x: 12m=2.5% | 1m=3.3% | >5%>SMA200 | GoldenX
2005-02-25,RUSSELL2000,3.0,3.0,LEVERAGE UP to 3.0x: 12m=9.2% | 1m=3.4% | >5%>SMA200 | GoldenX
2005-02-28,XLE,1.0,1.0,DELEVERAGE: Vol spike ATR 0.26 vs entry 0.14
2005-02-28,HANGSENG,3.0,3.0,LEVERAGE UP to 3.0x: 12m=3.1% | 1m=4.5% | >5%>SMA200 | GoldenX
2005-02-28,COPPER,1.0,1.0,DELEVERAGE: Mom decay 14.7% vs peak 29.5%
2005-02-28,XLF,1.0,1.0,DELEVERAGE: Mom decay 1.4% vs peak 2.7%
2005-02-28,NIKKEI,3.0,3.0,LEVERAGE UP to 3.0x: 12m=9.2% | 3m=8.0% | 1m=3.5% | GoldenX
2005-03-01,XLE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=44.6% | Strong12m | 3m=15.2% | 1m=15.9% | >5%>SMA200 | GoldenX
2005-03-01,HANGSENG,1.0,1.0,DELEVERAGE: Mom decay 2.2% vs peak 5.9%
2005-03-01,DOW,1.0,1.0,DELEVERAGE: Mom decay 1.4% vs peak 2.5%
2005-03-01,XLF,1.5,1.5,LEVERAGE UP to 1.5x: 12m=1.7% | GoldenX
2005-03-02,XLE,1.0,1.0,DELEVERAGE: Vol spike ATR 0.27 vs entry 0.14
2005-03-03,XLE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=50.6% | Strong12m | 3m=21.6% | 1m=16.1% | >5%>SMA200 | GoldenX
2005-03-03,DOW,2.5,2.5,LEVERAGE UP to 2.5x: 12m=2.3% | 1m=2.7% | GoldenX
2005-03-03,XLF,1.0,1.0,DELEVERAGE: Mom decay 1.1% vs peak 2.7%
2005-03-04,XLE,1.0,1.0,DELEVERAGE: Vol spike ATR 0.27 vs entry 0.14
