ticker,entry_date,exit_date,entry_price,exit_price,entry_momentum,days_held,return_pct,pnl,exit_reason,year
ROKU,2021-02-25,2021-06-30,382.3399963378906,459.25,2.392245581080509,125,-20.115605063232945,-684.7186895777738,STOP_LOSS,2021
LCID,2021-12-09,2022-01-11,365.2000122070313,454.7000122070313,2.681451849213011,33,-24.50711856747217,-776.6400124595827,STOP_LOSS,2021
UPST,2021-12-16,2023-07-17,140.63999938964844,52.90999984741211,3.772310915050366,578,62.37912394977836,1877.977506608287,PROFIT_TARGET,2021
CVNA,2023-11-07,2023-12-13,34.16999816894531,45.06999969482422,2.900684620565006,36,-31.899333069865786,-1028.4680987451775,STOP_LOSS,2023
SNAP,2021-09-20,2023-12-19,71.7300033569336,17.18000030517578,2.011335192104121,820,76.04907360775256,2536.8677788629625,PROFIT_TARGET,2021
CVNA,2024-01-24,2024-02-08,42.02999877929688,52.38999938964844,4.853760415621371,15,-24.649062363177322,-854.4145934272129,STOP_LOSS,2024
CVNA,2024-04-15,2024-04-26,69.83000183105469,84.30999755859375,6.452508290707212,11,-20.736066658814753,-674.4232080572581,STOP_LOSS,2024
COIN,2024-04-17,2024-06-06,213.77999877929688,257.0799865722656,2.156822134166483,50,-20.254461614844978,-625.8214368370611,STOP_LOSS,2024
PLTR,2024-05-03,2024-08-15,23.32999992370605,31.21999931335449,2.085978849244336,104,-33.81911451114606,-1036.287115253819,STOP_LOSS,2024
AFRM,2024-02-13,2024-10-14,39.75,49.2599983215332,2.174920011712217,244,-23.924524079328812,-819.0790698061887,STOP_LOSS,2024
DOCU,2021-01-27,2024-11-11,225.19000244140625,81.22000122070312,2.005338336103694,1384,63.93267891995502,2729.2715775081956,PROFIT_TARGET,2021
COIN,2024-06-21,2024-11-11,225.8600006103516,324.239990234375,2.8874355687109725,143,-43.557951544393326,-1321.6326570759848,STOP_LOSS,2024
PLTR,2025-01-13,2025-01-23,64.9800033569336,78.9800033569336,2.870160798909801,10,-21.545089684126882,-726.5357665193599,STOP_LOSS,2025
CHWY,2021-02-25,2025-01-27,101.5500030517578,38.970001220703125,2.303513461544308,1432,61.62481531306211,2208.061204433134,PROFIT_TARGET,2021
PTON,2021-02-17,2025-02-06,139.22999572753906,8.489999771118164,4.141432648441627,1450,93.90217623238864,3568.918608372292,PROFIT_TARGET,2021
CVNA,2024-12-19,2025-02-10,222.97999572753903,267.8099975585937,2.7287625179324264,53,-20.10494335367769,-713.6543893195526,STOP_LOSS,2024
PLTR,2025-03-14,2025-04-24,86.23999786376953,107.77999877929688,2.4914977813752275,41,-24.97681058567901,-932.2457507148728,STOP_LOSS,2025
CVNA,2025-02-21,2025-05-08,223.3000030517578,285.5299987792969,3.3099787132388103,76,-27.868336263799794,-1152.543335307065,STOP_LOSS,2025
HOOD,2025-02-25,2025-05-12,45.91999816894531,57.43000030517578,2.2870434710959207,76,-25.0653366620002,-984.7894083585801,STOP_LOSS,2025
HOOD,2025-09-02,2025-09-19,100.83999633789062,124.77999877929688,3.962598319505681,17,-23.74058241849697,-945.3961320129398,STOP_LOSS,2025
PLTR,2025-09-03,2025-10-02,154.89999389648438,187.0500030517578,3.996773996660786,29,-20.755332745047394,-785.1918037400458,STOP_LOSS,2025
