Price,Close,High,Low,Open,Volume
Ticker,ZB=F,ZB=F,ZB=F,ZB=F,ZB=F
Date,,,,,
2001-09-19,104.625,104.71880340576172,103.96880340576172,104.625,128599
2001-09-20,102.78130340576172,103.90630340576172,102.5625,103.59380340576172,91551
2001-09-21,103.3125,103.375,102.65630340576172,102.75,69630
2001-09-24,103.375,103.5625,102.8125,103.21880340576172,103371
2001-09-25,103.5625,104.0,103.1875,103.3125,122803
2001-09-26,104.5625,104.625,103.53130340576172,103.59380340576172,107932
2001-09-27,105.34380340576172,105.4375,104.5,104.53130340576172,115217
2001-09-28,105.46880340576172,106.125,105.1875,105.21880340576172,68799
2001-10-01,106.09380340576172,106.21880340576172,105.0625,105.375,106035
2001-10-02,106.65630340576172,106.90630340576172,105.90630340576172,106.0625,131741
2001-10-03,106.90630340576172,107.34380340576172,106.59380340576172,106.65630340576172,121002
2001-10-04,106.9375,107.28130340576172,106.53130340576172,106.90630340576172,69743
2001-10-05,106.78130340576172,107.28130340576172,106.65630340576172,106.875,66020
2001-10-09,105.90630340576172,107.03130340576172,105.84380340576172,106.84380340576172,103321
2001-10-10,106.125,106.375,105.59380340576172,105.9375,107642
2001-10-11,105.5,106.46880340576172,105.21880340576172,106.1875,76634
2001-10-12,105.3125,105.9375,105.1875,105.46880340576172,51803
2001-10-15,106.09380340576172,106.09380340576172,105.34380340576172,105.46880340576172,68082
2001-10-16,106.4375,106.5,105.9375,106.09380340576172,99020
2001-10-17,106.84380340576172,107.0,106.0625,106.3125,90017
2001-10-18,106.75,107.125,106.71880340576172,106.75,96705
2001-10-19,106.3125,107.21880340576172,106.1875,106.78130340576172,65311
2001-10-22,106.0625,106.6875,106.03130340576172,106.25,89984
2001-10-23,106.0625,106.21880340576172,105.78130340576172,106.125,118507
2001-10-24,106.875,107.28130340576172,106.0625,106.125,126046
2001-10-25,107.40630340576172,107.8125,106.84380340576172,106.90630340576172,94712
2001-10-26,107.71880340576172,107.8125,107.0,107.40630340576172,68729
2001-10-29,107.875,108.1875,107.6875,107.6875,94113
2001-10-30,108.5625,108.59380340576172,107.875,107.875,224447
2001-10-31,110.6875,111.28130340576172,108.21880340576172,108.5625,223594
2001-11-01,110.8125,112.59380340576172,110.4375,110.71880340576172,164930
